Experiment 1: [21438282.730365876, 777136.6922245238, 1769595.9413405566, 1996304.4757329072, 3542456.6987259057, 13938122.5808504, 9115559.57390336, 1314648.4784794021, 22519905.47425925]
Experiment 1: [447240.35352306685, 272731774.5125399, 14400350.166105304, 31923085.00679169, 137246.77385505755, 28954.388616446777, 744846.7286785494, 69003.40831544412, 853655.2132311636]
Experiment 1: [275173.183666855, 23325.70114238045, 2653252.3701644796, 5681821.373568647, 513170.9282662278, 1385474.237874208, 495509.5204782287, 475584.8214801573, 8462617.405391412]
Experiment 1: [32029.628330624506, 16387714.490933217, 13664.304634595126, 351002.1828855027, 1685703.993631986, 4056345.737758169, 1631004.8453751525, 110113.74857043788, 1129675.1270750992]
Experiment 2: [18.33421677846801, 9.864686581795315, 14.016853051791017, 15.546610834054412, 33.04167768519579, 18.933525502458338, 27.80618062545898, 55.58250638906896, 27.907348363413536]
Experiment 3: [25.20524337403866, 7.3010968479574, 14.199332742324078, 7.087023290113684, 16.057076559271874, 10.385281611920284, 28.25717382911722, 14.821045281819858, 11.680823512267843]
Experiment 4: [53.13870192337042, 178.48553584485762, 43.48523255359653, 36.438389043232135, 54.11752391220468, 62.96897903282523, 37.133005493347, 29.33558782600676, 47.04001980352112]
Experiment 5: [13.92298601163824, 6.598810472201555, 5.633299432296431, 7.613204287492907, 6.801798056961149, 9.748308475007653, 4.490116002442378, 3.918591600240484, 2.438832380840857]
Experiment 6: [31.736830982446897, 35.76986260472289, 27.761391319120015, 21.8467011509158, 6.438847014800058, 5.328293306053957, 10.290032249217829, 21.853911173053763, 26.743485023863656]
Experiment 6: [3.807088461600749, 17.182747116837618, 5.2390761852978045, 47.98317113568018, 11.34050561159297, 0.684228413078085, 45.53329302517723, 27.59747248226936, 10.994698151440673]
